job_tittle_rev,salary_estimation,min_salary_est,max_salary_est,avg_salary_est,skill_excel,skill_python,skill_sql,skill_tableau,skill_powerbi,Rating,company_name,location,state,Headquarters,company_size(emp),Founded,Type of ownership,Industry,Sector,Revenue,avg_revenue_million,min_revenue_million,max_revenue_million
Media Science Big Data Analyst,51000-88000,51000,88000,69500,FALSE,TRUE,TRUE,TRUE,FALSE,3.5,"Discovery Communications, Inc.",New York,New York,"New York, NY",> 10000,1985,Company - Public,TV Broadcast & Cable Networks,Media,$5 to $10 billion (USD),7500,5000,10000
Data Analyst,51000-88000,51000,88000,69500,FALSE,FALSE,TRUE,FALSE,FALSE,3.7,Randstad,Jersey City,New Jersey,"Atlanta, GA",1001-5000,,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,,,
Data Analyst,51000-88000,51000,88000,69500,TRUE,TRUE,FALSE,TRUE,FALSE,5,Mulberry Technology,New York,New York,"New York, NY (US), NY",1-50,,Company - Private,,,Unknown / Non-Applicable,,,
Data Analyst With Python,51000-88000,51000,88000,69500,TRUE,TRUE,TRUE,FALSE,FALSE,4,Two95 International Inc.,New York,New York,"Cherry Hill, NJ",1-50,,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),3,1,5
Data Analyst,51000-88000,51000,88000,69500,FALSE,FALSE,TRUE,FALSE,FALSE,4.8,Softstandard Solutions,New York,New York,"Fremont, CA",51-200,,Company - Private,,,Unknown / Non-Applicable,,,
Data Analyst,51000-88000,51000,88000,69500,FALSE,TRUE,TRUE,FALSE,FALSE,5,"Edo, Inc.",New York,New York,"Los Angeles, CA",1-50,,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,,,
"Healthcare Data Analyst, Qsight",51000-88000,51000,88000,69500,TRUE,TRUE,TRUE,TRUE,FALSE,3.3,Guidepoint,New York,New York,"New York, NY",501-1000,2003,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,,,
Ba/Data Analyst,51000-88000,51000,88000,69500,TRUE,FALSE,TRUE,TRUE,FALSE,4.1,Mitchell Martin,New York,New York,"New York, NY",501-1000,1984,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),300,100,500
Data Analyst Python,51000-88000,51000,88000,69500,FALSE,TRUE,TRUE,FALSE,FALSE,4,Lorven Technologies Inc,New York,New York,"Plainsboro, NJ",1-50,,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),,,
"Data Analyst, Bitcoin Trading Firm",51000-88000,51000,88000,69500,FALSE,FALSE,TRUE,TRUE,TRUE,,Fintech Recruiters,New York,New York,"Dublin, Ireland",Unknown-,,Company - Private,,,Unknown / Non-Applicable,,,
Data Analyst-Ba,51000-88000,51000,88000,69500,FALSE,FALSE,TRUE,FALSE,FALSE,1,Sphinix Network Solutions Inc.,New York,New York,"New York, NY",1-50,,Company - Private,IT Services,Information Technology,Less than $1 million (USD),,,
Data Analytics Solutions Analyst,51000-88000,51000,88000,69500,TRUE,TRUE,TRUE,TRUE,FALSE,3.1,Praescient Analytics,New York,New York,"Alexandria, VA",51-200,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),17.5,10,25
Quantitative Data Analyst,51000-88000,51000,88000,69500,FALSE,TRUE,TRUE,FALSE,FALSE,4.5,Global Atlantic Financial Group,New York,New York,"New York, NY",1001-5000,2004,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,,,
Data Analyst,51000-88000,51000,88000,69500,TRUE,FALSE,TRUE,FALSE,FALSE,3.4,Finra,New York,New York,"Washington, DC",1001-5000,2007,Nonprofit Organization,Brokerage Services,Finance,$500 million to $1 billion (USD),250500,500000,1000
Data Analyst,51000-87000,51000,87000,69000,TRUE,FALSE,FALSE,FALSE,FALSE,,Nyu Langone Medical Center,New York,New York,,,,,,,,,,
"Descriptive Analytics Data Analyst, Ib",51000-87000,51000,87000,69000,TRUE,TRUE,TRUE,FALSE,TRUE,3.6,Jefferies,New York,New York,"New York, NY",1001-5000,1962,Company - Public,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),3500,2000,5000
Data Analyst,51000-87000,51000,87000,69000,TRUE,FALSE,TRUE,TRUE,FALSE,4.1,Rgp,New York,New York,"Irvine, CA",1001-5000,1996,Company - Public,Consulting,Business Services,$500 million to $1 billion (USD),250500,500000,1000
Data Analyst,51000-87000,51000,87000,69000,FALSE,TRUE,TRUE,TRUE,FALSE,4.4,Tachyon Technologies,New York,New York,"Irving, TX",201-500,2011,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),17.5,10,25
Data Analyst,51000-87000,51000,87000,69000,TRUE,TRUE,TRUE,FALSE,FALSE,3.8,Apex Systems,Jersey City,New Jersey,"Glen Allen, VA",1001-5000,1995,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),3500,2000,5000
Data Analyst,51000-87000,51000,87000,69000,TRUE,FALSE,TRUE,TRUE,TRUE,3.2,Hagerty Consulting,New York,New York,"Evanston, IL",1-50,,Company - Private,Consulting,Business Services,$1 to $5 million (USD),3,1,5
Data Analyst,51000-87000,51000,87000,69000,TRUE,TRUE,TRUE,FALSE,FALSE,,Gainful Health,New York,New York,"San Mateo, CA",1-50,,Company - Private,Food & Beverage Stores,Retail,Unknown / Non-Applicable,,,
Business Data Analyst,51000-87000,51000,87000,69000,FALSE,FALSE,FALSE,FALSE,FALSE,3.8,Cortex Consultants Llc,New York,New York,"North Brunswick, NJ",501-1000,,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,,,
Data Analyst,51000-87000,51000,87000,69000,TRUE,FALSE,FALSE,FALSE,FALSE,4.7,Medly Pharmacy,Brooklyn,New York,"Brooklyn, NY",201-500,2017,Unknown,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,,,
Healthcare Data Analyst,51000-87000,51000,87000,69000,TRUE,FALSE,TRUE,TRUE,FALSE,2.3,Fair Health,New York,New York,"New York, NY",1-50,,Nonprofit Organization,,,$10 to $25 million (USD),17.5,10,25
Supply Chain Data Analyst,51000-87000,51000,87000,69000,TRUE,TRUE,TRUE,TRUE,FALSE,3.8,Peloton Interactive,New York,New York,"New York, NY",1001-5000,2012,Company - Public,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable,,,
Data Analyst - Ibm Tool Set,51000-87000,51000,87000,69000,FALSE,TRUE,TRUE,FALSE,FALSE,4.6,Ektello,New York,New York,"Troy, MI",201-500,2011,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),17.5,10,25
Analyst-Data Integrity,51000-87000,51000,87000,69000,TRUE,FALSE,FALSE,FALSE,FALSE,3,"Premier, Inc.",New York,New York,"Charlotte, NC",1001-5000,1967,Company - Public,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD),1500,1000,2000
"Reference Data Operations Analyst - Index Instrument, Associate",51000-87000,51000,87000,69000,TRUE,TRUE,FALSE,FALSE,FALSE,3.9,Jpmorgan Chase,New York,New York,"New York, NY",> 10000,1799,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD),,,
Data Analyst,51000-87000,51000,87000,69000,TRUE,FALSE,TRUE,FALSE,FALSE,3,Fund For Public Health,Long Island City,New York,"New York, NY",201-500,,Nonprofit Organization,Social Assistance,Non-Profit,$25 to $50 million (USD),37.5,25,50
Data & Service Health Analyst,51000-87000,51000,87000,69000,FALSE,TRUE,FALSE,FALSE,FALSE,4.2,Bluevoyant,New York,New York,"New York, NY",51-200,,Company - Private,,,Unknown / Non-Applicable,,,
Data/Systems Analyst,51000-87000,51000,87000,69000,TRUE,FALSE,TRUE,FALSE,FALSE,5,Crossfire Consulting Corporation,New York,New York,"Yorktown Heights, NY",51-200,,Company - Private,Consulting,Business Services,$5 to $10 million (USD),7.5,5,10
Data Analyst,51000-87000,51000,87000,69000,FALSE,FALSE,TRUE,FALSE,FALSE,4,Reliable Software Resources,New York,New York,"Northville, MI",501-1000,2004,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),75,50,100
Data Analyst,51000-87000,51000,87000,69000,TRUE,FALSE,FALSE,FALSE,FALSE,,Hyde Leadership Brooklyn,Brooklyn,New York,"Brooklyn, NY",51-200,,School / School District,,,Unknown / Non-Applicable,,,
Data Analyst,51000-87000,51000,87000,69000,FALSE,FALSE,FALSE,FALSE,FALSE,,Vertex Intel Systems,Jersey City,New Jersey,,,,,,,,,,
Jr. Data Analyst,51000-87000,51000,87000,69000,FALSE,FALSE,FALSE,FALSE,FALSE,3.6,My Job Tank,Jersey City,New Jersey,"New York, NY",51-200,,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,,,
"Data Analytics Analyst Or Associate, Cowen Sustainable Investments",51000-87000,51000,87000,69000,FALSE,TRUE,FALSE,FALSE,FALSE,3.7,Cowen,New York,New York,"New York, NY",501-1000,1918,Company - Public,Investment Banking & Asset Management,Finance,$100 to $500 million (USD),300,100,500
Data Reporting Analyst,51000-87000,51000,87000,69000,TRUE,TRUE,TRUE,FALSE,FALSE,3.5,Robert Half,New York,New York,"Menlo Park, CA",> 10000,1948,Company - Public,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),3500,2000,5000
